Region,Place name,Place type,Rating,Reviews,Price,Delivery option,Dine in option,Takeout option
C,Dim Kavu,Others,4.6,true,$$,false,false,false
C,Коферум,Cafe,5.0,true,$$,false,false,true
C,Кофейня Світ Чаю,Coffee shop,5.0,true,$$,false,false,true
C,Кофейня Starcoff,Coffee shop,4.4,true,$$,false,true,true
C,"Кофейня ""Friend Zone""",Coffee shop,5.0,true,$$,false,true,true
C,Racers Coffee Shop,Espresso bar,4.6,true,$$,false,true,true
C,Займемся Кофе,Coffee shop,4.6,true,$$,false,true,true
C,Кофейня Rit Rit,Coffee shop,4.6,true,$$,false,false,true
C,Кав'ярня My coffee,Coffee shop,4.8,true,$$,false,true,true
C,LENЬ. Coffee & desserts.,Coffee shop,4.8,true,$$,true,true,true
C,SOVA COFFEE,Coffee shop,4.8,true,$$,false,true,true
C,Кава Тайм,Coffee shop,4.9,true,$$,false,false,true
C,Skver кафе,Cafe,4.9,true,$$,false,true,true
C,Кафе на Георгіївській,Cafe,4.5,true,$,false,true,true
C,Khosper,Cafe,4.2,true,$$,false,true,true
C,Lekontina Шоколадна Майстерня,Cafe,4.7,true,$$,true,true,true
C,Lecker,Cafe,4.8,true,$$,true,true,true
C,Veterano Coffee,Coffee shop,4.5,true,$$,false,false,true
C,VEIN,Cafe,4.5,true,$$,true,true,true
C,Coffee Drive,Coffee shop,4.8,true,$$,false,true,true
J,G COFFEE,Coffee shop,4.5,true,$$,true,true,false
J,Kavun,Coffee shop,4.7,true,$$,true,true,false
J,Buns Brew Bar,Coffee shop,4.7,true,$$,false,false,true
J,Coffee House,Cafe,4.7,true,$$,false,false,true
J,"""Точка кофе""",Espresso bar,4.9,true,$$,false,false,true
J,Your Coffee,Cafe,4.7,true,$$,false,true,false
J,KOFEiN,Cafe,4.4,true,$$$,false,true,true
J,"Perfect Coffee, КАВ'ЯРНЯ",Espresso bar,4.8,true,$$,false,true,true
J,Misceva kavyarnya,Coffee shop,4.5,true,$$,false,true,true
J,Dzhi,Cafe,4.5,true,$$,true,true,true
J,Gangster coffee shop,Others,4.7,true,$$,true,false,false
J,Crema Caffe Poltava,Coffee shop,4.3,true,$$,false,false,true
J,COFFBOY,Coffee shop,4.7,true,$$,false,true,true
J,Wake Up Coffee,Coffee shop,4.9,true,$$,false,false,true
J,Lviv Handmade Chocolate,Others,4.6,true,$$,false,true,true
J,"ПЕРША ДЕГУСТАЦІЙНА ЗАЛА КАВИ ""GANGSTER_COFFEE SHOP 3""",Others,5.0,true,$$,false,false,false
J,Aroma kava,Cafe,4.4,true,$$,false,true,true
J,Koffishka,Coffee shop,4.1,true,$$,false,true,true
J,ЗАКУТОК - coffee hookah point,Coffee shop,5.0,true,$$,false,false,false
J,CoffeePot,Coffee shop,5.0,true,$$,false,true,false
F,Coffee 66,Cafe,5.0,true,$$,false,false,true
F,Godshot Coffee,Cafe,4.7,true,$$,false,true,true
F,Verona,Others,4.5,true,$$,true,true,false
F,Prostir.coffee Таврик,Coffee shop,5.0,true,$$,false,true,false
F,I love coffee,Coffee shop,4.7,true,$$,false,true,true
F,coffee House,Coffee shop,4.7,true,$$,false,true,true
F,Дом Кофе,Coffee shop,4.6,true,$$,false,true,true
F,CoffeeOk,Coffee shop,4.9,true,$$,false,false,true
F,Кофе с Совой,Espresso bar,4.9,true,$$,false,false,true
F,Кофе В Херсоне,Cafe,4.663636363636363,false,$$,false,false,false
F,Prostir.coffee,Coffee shop,4.7,true,$$,true,true,true
F,Don Marco coffee shop,Coffee shop,4.4,true,$$,false,true,true
F,HOTCUP,Cafe,4.6,true,$$,false,false,true
F,Koko,Coffee shop,4.4,true,$$,false,true,true
F,Coffee house,Coffee shop,4.4,true,$$,false,false,true
F,Coffeehouse Na Poshtovomu Provulku,Coffee shop,4.6,true,$$,false,true,true
F,Just Coffee Kherson,Espresso bar,4.5,true,$$,false,false,true
F,Don Marco,Coffee shop,4.4,true,$$,false,true,true
F,Green house,Cafe,4.5,true,$$,true,true,true
F,Kofemolka,Coffee shop,4.7,true,$$,false,false,true
B,Art Coffee,Espresso bar,4.6,true,$$,false,false,false
B,Art Coffee - Інтернет Магазин Кави та Чаю,Others,5.0,true,$$,true,false,false
B,Coffeeshop GRANO,Cafe,4.9,true,$$,false,false,true
B,"Мастерская ""Кофе на разлив""",Others,5.0,true,$$,false,false,false
B,Coffeeсть,Coffee shop,4.6,true,$$,false,true,true
B,The Boiler Room,Coffee shop,4.8,true,$$,false,true,false
B,Dim Kavy,Espresso bar,4.8,true,$$,false,false,false
B,"Интернет-магазин ""Kava-e""",Others,4.7,true,$$,false,false,false
B,Coffee House,Others,4.7,true,$$,false,false,false
B,Jays : Coffee Brewers,Others,4.5,true,$$,false,false,true
B,Caffisimo,Espresso bar,4.5,true,$$,false,false,false
B,MY COFFEE,Coffee shop,4.5,true,$$,false,true,true
B,"Kaffe ""Na Peskah""",Cafe,4.2,true,$$,false,true,true
B,LittleTalk Coffee,Coffee shop,4.6,true,$$,false,true,true
B,Столовая BUFET,Cafe,5.0,true,$$,true,true,true
B,Svit kavy,Coffee shop,4.6,true,$$,false,true,true
B,Comeback coffee & more,Cafe,4.8,true,$$,false,true,true
B,Coffeelab Roasters,Coffee shop,4.7,true,$$,false,true,true
B,Cholla & Joshua,Espresso bar,4.6,true,$$,false,true,false
B,Dobra Kava,Cafe,4.3,true,$$,true,true,false
A,Смажимо каву в Одесі. Обсмажувальна №2,Coffee shop,4.7,true,$$,false,true,true
A,Traveler`s Coffee,Coffee shop,4.6,true,$$,true,true,true
A,Кофе База Одесса | Coffee Baza,Others,5.0,true,$$,false,false,false
A,We Roast Coffee in Odessa,Coffee shop,4.5,true,$$,false,true,true
A,Burso_Coffee,Coffee shop,5.0,true,$$,false,true,true
A,Foundation Coffee Roasters,Espresso bar,4.7,true,$$,true,true,false
A,Red Cup Coffee Roasters,Others,5.0,true,$$,false,false,false
A,Krem Kafe,Coffee shop,4.9,true,$$,false,true,false
A,FAB.,Others,4.9,true,$$,false,true,true
A,Zheto,Coffee shop,4.8,true,$$,false,true,true
A,Eclair&Coffee,Espresso bar,4.9,true,$$,false,false,false
A,Coffee Room,Coffee shop,4.7,true,$$,false,true,true
A,Смажимо каву. Обсмажувальна N3,Coffee shop,4.6,true,$$,false,false,false
A,kofevarka.odessa.ua,Others,4.6,true,$$,true,false,false
A,Anso Coffee,Coffee shop,4.9,true,$$,false,true,false
A,Pasadena Coffee,Coffee shop,4.9,true,$$,false,true,false
A,Coffeetory Кофетория,Coffee shop,4.6,true,$$,true,true,true
A,MY COFFEE,Coffee shop,4.8,true,$$,false,true,true
A,Жарим Кофе в Одессе. Обжарочная №4,Coffee shop,4.7,true,$$,false,false,false
A,Coffee break ZAVIDA,Coffee shop,4.9,true,$$,false,false,false
E,Lviv Coffee Manufacture,Coffee shop,4.7,true,$$,true,true,true
E,Svit Kavy,Coffee shop,4.6,true,$$,false,true,true
E,Na bambetli,Coffee shop,4.7,true,$$,false,true,true
E,Golden Ducat,Coffee shop,4.4,true,$$,false,true,true
E,Lviv coffee manufacture (Valova),Coffee shop,4.6,true,$$,false,true,true
E,SDV Coffee,Coffee shop,4.8,true,$$,false,true,true
E,Fixage,Coffee shop,4.6,true,$$,false,true,true
E,Svit Kavy,Coffee shop,4.3,true,$$,false,true,true
E,Lviv Coffee Manufacture,Coffee shop,4.5,true,$$,false,true,true
E,Lʹvivsʹka Manufaktura Kavy,Coffee shop,4.6,true,$$,false,true,true
E,Вірменка,Coffee shop,4.8,true,$$,false,true,true
E,Saturdays Coffee Цирк,Coffee shop,5.0,true,$$,true,true,true
E,coffee House,Coffee shop,4.7,true,$$,false,true,true
E,Chekhovych,Others,4.6,true,$$,false,true,true
E,Svit Kavy (Rynok Sq.),Coffee shop,4.6,true,$$,false,true,true
E,Cafe 1,Cafe,4.6,true,$$,true,true,true
E,Liberty,Cafe,5.0,true,$$,false,false,true
E,Lviv Croissants,Cafe,4.5,true,$$,false,true,true
E,Rondo Cafe,Cafe,4.9,true,$$,false,true,true
E,Karmel Coffee Shop,Coffee shop,4.9,true,$$,false,true,true
D,SV Кафе,Cafe,4.5,true,$$,true,true,true
D,I Feel Espresso Bar,Cafe,4.5,true,$$,false,true,true
D,I want coffee,Coffee shop,4.4,true,$$,false,true,true
D,Кофейня My Coffee,Cafe,4.5,true,$$,false,false,true
D,Hunter's yard,Cafe,4.4,true,$$,false,true,true
D,Crema Caffe Кривий Ріг,Coffee shop,4.7,true,$$,false,true,true
D,"Tea, Coffee Shop",Others,4.6,true,$$,false,true,true
D,Антикафе 7/9 | Кривой Рог,Cafe,4.7,true,$$,false,true,false
D,Чай Кофе,Cafe,4.4,true,$$,false,false,false
D,Coffee Craft,Cafe,4.7,true,$$,false,true,true
D,ЕТУАЛЬ КАФЕ,Cafe,4.6,true,$$$,true,true,true
D,Coffee Break,Espresso bar,4.8,true,$$,false,false,true
D,SV Кафе,Cafe,4.6,true,$$,false,true,true
D,Dva Gusya Pizza,Cafe,4.0,true,$$,true,true,true
D,Offshore cafe,Cafe,4.4,true,$$,false,true,true
D,Франс.уа на Пушкина,Cafe,4.9,true,$$,false,true,true
D,Дикий Койот кафе,Cafe,4.9,true,$$,true,true,true
D,BON BON,Coffee shop,4.8,true,$$,false,true,true
D,The Spiceroom,Cafe,4.6,true,$$,true,false,true
D,Магазин AROMA coffee&tea shop,Cafe,5.0,true,$$,false,true,false
G,coffeeok,Others,4.9,true,$$,true,false,false
G,"""®КАВА БАЗА®""",Others,5.0,true,$$,false,false,false
G,Coffee in Action,Coffee shop,4.9,true,$$,false,false,false
G,Горький Espresso Bar,Coffee shop,5.0,true,$$,false,false,false
G,Кафе Бутик,Others,4.7,true,$$,true,false,false
G,Cuba Coffee Brew - Bar,Espresso bar,4.6,true,$$,false,true,true
G,Progress Cafe,Coffee shop,4.9,true,$$,false,false,false
G,Буду Кофе,Coffee shop,4.9,true,$$,false,true,true
G,ONE LOVE espresso bar,Coffee shop,4.6,true,$$,false,true,true
G,Matílda cafe,Cafe,4.9,true,$$,false,true,true
G,TAKAVA Coffee-Buffet,Cafe,4.6,true,$$,false,true,true
G,Kaffa,Cafe,4.7,true,$$,false,true,true
G,The Blue Cup Coffee Shop,Espresso bar,4.6,true,$$,true,true,true
G,LION coffee,Coffee shop,4.9,true,$$,false,false,false
G,Kaffa,Espresso bar,4.8,true,$$,false,true,true
G,London,Cafe,4.7,true,$$,false,true,false
G,PRO Coffee,Espresso bar,4.8,true,$$,false,true,true
G,RIGHT coffee bar,Coffee shop,4.7,true,$$,false,true,true
G,Espressoholic,Espresso bar,4.6,true,$,false,true,true
G,Matin Desserts & Coffee,Coffee shop,4.9,true,$$,false,false,false
I,КофеТочка Харьков - интернет-магазин кофе и кофеоборудования,Others,3.9,true,$$,false,false,false
I,Coffee House,Espresso bar,4.5,true,$$,false,false,false
I,Sweeter,Coffee shop,4.6,true,$$,false,true,true
I,Workshop coffee,Coffee shop,4.7,true,$$,false,true,true
I,Мастерская Кофе,Coffee shop,4.7,true,$$,false,true,true
I,Kofeyin,Coffee shop,4.5,true,$$,false,true,true
I,Dom Kofe,Coffee shop,4.6,true,$$,false,false,false
I,coffee House,Cafe,4.6,true,$$,false,false,false
I,Cats and coffee | Киці та кава,Espresso bar,4.6,true,$$,true,true,true
I,CoffeeDoor Brewbar & Coffeeshop,Coffee shop,4.7,true,$$,false,true,true
I,"Dom Kofe, Mah.",Coffee shop,4.3,true,$$,false,false,false
I,Dim Kavy,Espresso bar,4.7,true,$$,false,false,false
I,Dim Kavy,Others,4.7,true,$$,false,true,true
I,Sweeter,Coffee shop,4.6,true,$$,false,true,true
I,Kava U Shafi,Coffee shop,4.6,true,$$,false,true,false
I,Coffeelaktika,Coffee shop,4.8,true,$$,false,true,true
I,"Caffissimo, КОФЕЙНЯ",Coffee shop,4.6,true,$$,true,true,true
I,Coffeelaktika coffee studio,Coffee shop,4.5,true,$$,false,true,true
I,KOFEiN®,Coffee shop,4.6,true,$$,false,true,true
I,Mr. Bourbon,Coffee shop,4.7,true,$$,false,true,true
